CustomerID,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,YearlyIncome,Children,ChildrenAtHome,Education
AW00011000,Jon,V,Yang,1971-10-06,M,M,90000.00,2,0,Bachelors
AW00011001,Eugene,L,Huang,1976-05-10,S,M,60000.00,3,3,Bachelors
AW00011002,Ruben,NULL,Torres,1971-02-09,M,M,60000.00,3,3,Bachelors
AW00011003,Christy,NULL,Zhu,1973-08-14,S,F,70000.00,0,0,Bachelors
AW00011004,Elizabeth,NULL,Johnson,1979-08-05,S,F,80000.00,5,5,Bachelors
AW00011005,Julio,NULL,Ruiz,1976-08-01,S,M,70000.00,0,0,Bachelors
AW00011006,Janet,G,Alvarez,1976-12-02,S,F,70000.00,0,0,Bachelors
AW00011007,Marco,NULL,Mehta,1969-11-06,M,M,60000.00,3,3,Bachelors
AW00011008,Rob,NULL,Verhoff,1975-07-04,S,F,60000.00,4,4,Bachelors
AW00011009,Shannon,C,Carlson,1969-09-29,S,M,70000.00,0,0,Bachelors
AW00011010,Jacquelyn,C,Suarez,1969-08-05,S,F,70000.00,0,0,Bachelors
AW00011011,Curtis,NULL,Lu,1969-05-03,M,M,60000.00,4,4,Bachelors
AW00011012,Lauren,M,Walker,1979-01-14,M,F,100000.00,2,0,Bachelors
AW00011013,Ian,M,Jenkins,1979-08-03,M,M,100000.00,2,0,Bachelors
AW00011014,Sydney,NULL,Bennett,1973-11-06,S,F,100000.00,3,0,Bachelors
AW00011015,Chloe,NULL,Young,1984-08-26,S,F,30000.00,0,0,Partial College
AW00011016,Wyatt,L,Hill,1984-10-25,M,M,30000.00,0,0,Partial College
AW00011017,Shannon,NULL,Wang,1949-12-24,S,F,20000.00,4,0,High School
AW00011018,Clarence,D,Rai,1955-10-06,S,M,30000.00,2,0,Partial College
AW00011019,Luke,L,Lal,1983-09-04,S,M,40000.00,0,0,High School
AW00011020,Jordan,C,King,1984-03-19,S,M,40000.00,0,0,High School
AW00011021,Destiny,NULL,Wilson,1984-03-02,S,F,40000.00,0,0,Partial College
AW00011022,Ethan,G,Zhang,1984-04-10,M,M,40000.00,0,0,Partial College
